	MR	ARI_o	ARI_r	Time
127	0.6	0.5171225934142135	0.5753206020506262	0.22244
128	0.6	0.5847398242368391	0.6450349460178146	0.20458
129	0.6	0.5681693483186836	0.6226580900489753	0.18268
130	0.65	0.42400450524217975	0.4791056917855146	0.20622
131	0.65	0.504537466292207	0.5703606793210877	0.20924
132	0.65	0.42076761459996037	0.47625563428324463	0.20837
133	0.65	0.37415153186002553	0.4173671685306716	0.22354
134	0.65	0.3942359434389303	0.44936268812968916	0.22142
135	0.65	0.4849997957444885	0.5412242701504073	0.21567
136	0.65	0.38346433348473796	0.4248549294444122	0.20943
137	0.65	0.45103204294938093	0.50746946759256	0.16969
138	0.65	0.46506541748292424	0.5145306736243367	0.19532
139	0.65	0.4937572757146685	0.5473749730338154	0.19774
140	0.7	0.4313334073310493	0.48641411386504163	0.19375
141	0.7	0.3033128008207393	0.34068929041413165	0.19158
142	0.7	0.27123952224539866	0.3095567524933305	0.21623
143	0.7	0.27407046795477286	0.3019397027890082	0.21564
144	0.7	0.40354149595545247	0.4532988513117213	0.20963
145	0.7	0.23397326821616934	0.26448668728067304	0.2449
146	0.7	0.4134691578097823	0.47181415155985995	0.20152
147	0.7	0.22848505481987064	0.2600477974200542	0.19357
148	0.7	0.388721540668478	0.4410832850716576	0.17733
149	0.7	0.33904308521047694	0.3767379497829821	0.21184
150	0.75	0.2822593658630945	0.32124752966851455	0.22048
151	0.75	0.21847904674728671	0.25430409971600804	0.23063
152	0.75	0.3020369258762821	0.34817414919014245	0.27247
153	0.75	0.46430339832248907	0.5260497479139278	0.19315
154	0.75	0.24332415131240195	0.27195834289036663	0.19748
155	0.75	0.373403066595489	0.42566032879912574	0.18745
156	0.75	0.17165465440453934	0.19297509833958146	0.22161
157	0.75	0.3032361039664425	0.3387536531445172	0.24867
158	0.75	0.2022302640893433	0.2284506007963948	0.20215
159	0.75	0.24284890936217432	0.2708230733878878	0.24354
160	0.8	0.254761634446954	0.29632095184863516	0.17716
161	0.8	0.1762610056243615	0.19706102474295353	0.37189
162	0.8	0.09488456899695583	0.10268487740947521	0.60995
163	0.8	0.33405754284274564	0.3809199056169358	0.25652
164	0.8	0.2110915891688038	0.2455514589178316	0.19514
165	0.8	0.12120740380945229	0.13553135002097674	0.20136
166	0.8	0.0545492320009917	0.060402061037962765	0.16856
167	0.8	0.10397028647812662	0.11749105280473149	0.18239
168	0.8	0.12454906857958634	0.13879939972692062	0.22129
169	0.8	0.17936994597839157	0.2034803245770017	0.19279
170	0.85	0.07312854066565244	0.07913907427294575	0.1748
171	0.85	0.14363112237082326	0.16191409431242926	0.20923
172	0.85	0.1630641105196321	0.18788001941125201	0.21048
173	0.85	0.08953214023697308	0.0983849489289807	0.18655
174	0.85	0.2622424725402232	0.30248325772378176	0.17597
175	0.85	0.07599003394983081	0.08803050405933391	0.16712
176	0.85	0.1176741947510565	0.13342829105157833	0.18122
177	0.85	0.0727448605669228	0.08122651650286906	0.18839
178	0.85	0.0880636167485546	0.09923833136512256	0.25468
179	0.85	0.1898998133377922	0.2123805232431345	0.1904
180	0.9	0.11778189347435712	0.13326372074861767	0.19745
181	0.9	0.18602897366582308	0.2077275538313548	0.34442
